year,ngh,developer,series,title_english,title_romaji,title_katakana,meg
1994,75,Video Systems,Aero Fighters,Aero Fighters 2,Sonic Wings 2,ソニックウィングス 2,102
1995,97,Video Systems,Aero Fighters,Aero Fighters 3,Sonic Wings 3,ソニックウィングス 3,154
1992,44,SNK,Art of Fighting,Art of Fighting,Ryuuko no Ken,龍虎の拳,102
1990,2,SNK,Baseball Stars,Baseball Stars Professional,,ベースボールスターズプロフェッショナル,50
1998,239,Yumekobo,,Blazing Star,,ブレイジングスター,346
1995,89,Aicom,,Pulstar,,パルスター,305
1994,73,Hudson,,BomberMan: Panic Bomber,,ボンバーマン ぱにっくボンバー,46
1996,230,Visco,Breakers,Breakers,,ブレイカーズ,210
1998,245,Visco,Breakers,Breakers Revenge,,ブレイカーズ・リベンジ,242
1999,248,Taito,Bust-A-Move,"Bust-A-Move Again ""EX""",Puzzle Bobble 2,パズルボブル 2,46
1995,95,SNK,Fatal Fury,Real Bout Fatal Fury,Real Bout Garou Densetsu,リアルバウト餓狼伝説,346
2002,263,Mega,Metal Slug,Metal Slug 4,,メタルスラッグ 4,553
2003,268,SNK Playmore,Metal Slug,Metal Slug 5,,メタルスラッグ 5,708
1995,202,Visco,Puzzle de Pon!,Puzzle de Pon!,,パズル de ポン!,30
1993,45,SNK,Samurai Shodown,Samurai Shodown,Samurai Spirits,サムライスピリッツ,118
2003,270,Yuki Enterprise,Samurai Shodown,Samurai Shodown V,Samurai Spirits Zero,サムライスピリッツ零,708
2004,272,Yuki Enterprise,Samurai Shodown,Samurai Shodown V Special,Samurai Spirits Zero Special,サムライスピリッツ零スペシャル,708
1995,88,Saurus,Stakes Winner,Stakes Winner,Stakes Winner: GI kinzen seihae no michi,ステークスウィナー,98
1992,52,SNK,Super Sidekicks,Super Sidekicks,Tokuten Ou,得点王,54
1994,61,SNK,Super Sidekicks,Super Sidekicks 2: The World Championship,Tokuten Ou 2: real fight football,得点王 2,106
